,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:20.11B,"Lee, Hyun",32.0,4:24.68,1.0,Columbia,Freestyle,SR
1,500.0,2.0,4:24.98B,"Stearns, Wes",28.0,4:26.98,2.0,Harvard,Freestyle,FR
2,500.0,2.0,4:25.67B,"Nolle, Paul",27.0,4:27.93,3.0,Princeton,Freestyle,FR
3,500.0,2.0,4:27.73B,"Goodman, Spenser",26.0,4:28.84,4.0,Harvard,Freestyle,FR
4,500.0,2.0,4:27.90B,"Dominski, Mike",25.0,4:27.93,5.0,Yale,Freestyle,SO
5,500.0,2.0,4:28.63,"Wilson, Taylor",24.0,4:30.36,6.0,Cornell,Freestyle,FR
6,500.0,2.0,4:31.62,"Lewkowitz, Blake",23.0,4:29.60,7.0,Harvard,Freestyle,SR
7,500.0,2.0,4:40.28,"Satterthwaite, Chris",22.0,4:30.49,8.0,Harvard,Freestyle,FR
8,500.0,2.0,4:28.81,"McNamara, Travis",20.0,4:30.52,9.0,Princeton,Freestyle,JR
9,500.0,2.0,4:29.51,"Gabel, Dylan",17.0,4:30.82,10.0,Dartmouth,Freestyle,FR
10,500.0,2.0,4:31.13,"Roop, Gregory",16.0,4:32.52,11.0,Harvard,Freestyle,SO
11,500.0,2.0,4:31.18,"Glenn, Tommy",15.0,4:32.02,12.0,Brown,Freestyle,FR
12,500.0,2.0,4:31.81,"Hood, Cam",14.0,4:30.79,13.0,Pennsylvania,Freestyle,JR
13,500.0,2.0,4:33.14,"Hartmeier, Paul",13.0,4:31.07,14.0,Pennsylvania,Freestyle,FR
14,500.0,2.0,4:35.00,"McLean, Matthew",12.0,4:31.73,15.0,Harvard,Freestyle,JR
15,500.0,2.0,4:36.21,"Itzkowitz, Ben",11.0,4:34.13,16.0,Cornell,Freestyle,FR
16,500.0,2.0,4:30.47,"Carroll, Stephen",9.0,4:36.20,17.0,Pennsylvania,Freestyle,SO
17,500.0,2.0,4:33.15,"Becker, Ed",7.0,4:34.93,18.0,Yale,Freestyle,FR
18,500.0,2.0,4:33.34,"Smith, Alex",6.0,4:34.63,19.0,Columbia,Freestyle,JR
19,500.0,2.0,4:33.69,"Lee, Matt",5.0,4:35.31,20.0,Yale,Freestyle,SR
20,500.0,2.0,4:36.07,"Beaulieu, Nicholas",4.0,4:35.44,21.0,Princeton,Freestyle,FR
21,500.0,2.0,4:36.20,"Cuthbert, West",3.0,4:36.73,22.0,Yale,Freestyle,FR
22,500.0,2.0,4:39.39,"Harpham, Harry",2.0,4:35.50,23.0,Cornell,Freestyle,FR
23,500.0,2.0,4:39.70,"Hill, John",1.0,4:36.28,24.0,Dartmouth,Freestyle,JR
0,200.0,3.0,1:45.91B,"Christensen, Jonathan",32.0,1:48.23,1.0,Princeton,IM,JR
1,200.0,3.0,1:47.28B,"McHugh, Brendan",28.0,1:48.43,2.0,Pennsylvania,IM,JR
2,200.0,3.0,1:47.97B,"Hanna, Colin",27.0,1:49.71,3.0,Princeton,IM,SR
3,200.0,3.0,1:48.77B,"Zupan, Nejc",26.0,1:49.86,4.0,Dartmouth,IM,FR
4,200.0,3.0,1:48.97B,"Carlucci, Conor",25.0,1:48.50,5.0,Brown,IM,SR
5,200.0,3.0,1:49.98,"Keady, Chris",24.0,1:50.25,6.0,Cornell,IM,SR
6,200.0,3.0,1:50.59,"Holcomb, Dean",23.0,1:50.37,7.0,Cornell,IM,SR
7,200.0,3.0,1:50.85,"Yntema, Douwe",22.0,1:50.25,8.0,Harvard,IM,SR
8,200.0,3.0,1:50.41,"Newell, Robert",20.0,1:50.80,9.0,Harvard,IM,JR
9,200.0,3.0,1:50.61,"Worster, Rhoads",17.0,1:50.50,10.0,Pennsylvania,IM,FR
10,200.0,3.0,1:50.95,"Traub, Eric",16.0,1:50.70,11.0,Columbia,IM,FR
11,200.0,3.0,1:51.45,"Roth, Albert",15.0,1:50.59,12.0,Dartmouth,IM,SO
12,200.0,3.0,1:51.79,"Kikuchi, Ryan",14.0,1:51.22,13.0,Brown,IM,SR
13,200.0,3.0,1:52.15,"Dougherty, Patrick",13.0,1:50.88,14.0,Columbia,IM,SO
14,200.0,3.0,1:52.54,"Janney, Niall",12.0,1:51.36,15.0,Harvard,IM,JR
15,200.0,3.0,1:53.20,"Bogese, Mikey",11.0,1:51.53,16.0,Yale,IM,FR
16,200.0,3.0,1:50.99,"Crigler, Danny",9.0,1:51.59,17.0,Harvard,IM,FR
17,200.0,3.0,1:51.15,"McVicker, Mike",7.0,1:52.04,18.0,Brown,IM,SO
18,200.0,3.0,1:52.46,"Mai, Erik",6.0,1:51.72,19.0,Columbia,IM,SO
19,200.0,3.0,1:52.54,"Chu, Marco",5.0,1:52.12,20.0,Dartmouth,IM,SR
20,200.0,3.0,1:52.86,"Park, Kyung",4.0,1:52.38,21.0,Princeton,IM,FR
21,200.0,3.0,1:53.01,"Lovett, Jared",3.0,1:52.71,22.0,Yale,IM,SO
22,200.0,3.0,1:54.19,"Lullo, Brett",1.5,1:53.38,23.0,Princeton,IM,SR
23,200.0,3.0,1:54.19,"Stumpf, Matt",1.5,1:52.94,23.0,Dartmouth,IM,JR
0,50.0,4.0,19.74B,"Powell, Adam",32.0,19.84,1.0,Columbia,Freestyle,SR
1,50.0,4.0,20.13B,"Lee, Oliver",28.0,20.27,2.0,Harvard,Freestyle,FR
2,50.0,4.0,20.19B,"Faux, Geoffrey",27.0,20.25,3.0,Princeton,Freestyle,SR
3,50.0,4.0,20.39,"Cordes, Colin",26.0,20.29,4.0,Princeton,Freestyle,JR
4,50.0,4.0,20.42,"Juhn, Timothy",25.0,20.59,5.0,Brown,Freestyle,JR
5,50.0,4.0,20.52,"Monovoukas, Michael",24.0,20.51,6.0,Princeton,Freestyle,JR
6,50.0,4.0,20.58,"LaMonaca, Matthew",23.0,20.50,7.0,Princeton,Freestyle,JR
7,50.0,4.0,20.76,"Veatch, Kyle",22.0,20.79,8.0,Yale,Freestyle,SR
8,50.0,4.0,20.30B,"Wright, John",20.0,20.85,9.0,Columbia,Freestyle,SO
9,50.0,4.0,20.85,"Amos, Peter",17.0,20.83,10.0,Pennsylvania,Freestyle,JR
10,50.0,4.0,20.92,"Keady, James",16.0,20.89,11.0,Cornell,Freestyle,JR
11,50.0,4.0,20.93,"Heyburn, Will",14.5,20.83,12.0,Harvard,Freestyle,SR
12,50.0,4.0,20.93,"Lawley, Will",14.5,20.88,12.0,Princeton,Freestyle,SO
13,50.0,4.0,20.96,"Bicer, Goksu",13.0,20.89,14.0,Yale,Freestyle,JR
14,50.0,4.0,21.01,"Stepanian, Mark",12.0,20.88,15.0,Cornell,Freestyle,SO
15,50.0,4.0,21.31,"Gomes, Brett",11.0,20.85,16.0,Pennsylvania,Freestyle,JR
16,50.0,4.0,20.72,"Gaffey, Eric",9.0,20.93,17.0,Cornell,Freestyle,SR
17,50.0,4.0,20.94,"Doherty, Zack",7.0,21.03,18.0,Dartmouth,Freestyle,SO
18,50.0,4.0,20.98,"Tung, Andres",6.0,20.91,19.0,Princeton,Freestyle,SO
19,50.0,4.0,21.00,"Killian, Pat",5.0,20.93,20.0,Yale,Freestyle,FR
20,50.0,4.0,21.01,"Derdeyn, Will",4.0,20.91,21.0,Dartmouth,Freestyle,SO
21,50.0,4.0,21.16,"Tan, Nicholas",2.5,21.10,22.0,Harvard,Freestyle,JR
22,50.0,4.0,21.16,"Brazitis, Kevin",2.5,20.97,22.0,Cornell,Freestyle,JR
23,50.0,4.0,21.20,"Hunter, James",1.0,20.93,24.0,Brown,Freestyle,JR
0,1650.0,7.0,15:14.83B,"Zupan, Nejc",32.0,9:25.55,1.0,Dartmouth,Freestyle,FR
1,1650.0,7.0,15:18.62B,"Stearns, Wes",28.0,15:23.85,2.0,Harvard,Freestyle,FR
2,1650.0,7.0,15:23.26B,"Nolle, Paul",27.0,15:28.96,3.0,Princeton,Freestyle,FR
3,1650.0,7.0,15:30.99B,"Lewkowitz, Blake",26.0,15:47.65,4.0,Harvard,Freestyle,SR
4,1650.0,7.0,15:32.69B,"Wilson, Taylor",25.0,16:17.53,5.0,Cornell,Freestyle,FR
5,1650.0,7.0,15:41.97,"Bogese, Mikey",24.0,15:29.40,6.0,Yale,Freestyle,FR
6,1650.0,7.0,15:42.18,"Gabel, Dylan",23.0,9:27.06,7.0,Dartmouth,Freestyle,FR
7,1650.0,7.0,15:42.84,"Carroll, Stephen",22.0,15:41.40,8.0,Pennsylvania,Freestyle,SO
8,1650.0,7.0,15:46.34,"Hood, Cam",20.0,16:06.57,9.0,Pennsylvania,Freestyle,JR
9,1650.0,7.0,15:48.47,"Hartmeier, Paul",17.0,16:09.60,10.0,Pennsylvania,Freestyle,FR
10,1650.0,7.0,15:48.52,"Lee, Matt",16.0,15:41.80,11.0,Yale,Freestyle,SR
11,1650.0,7.0,15:48.53,"McLean, Matthew",15.0,15:48.53,12.0,Harvard,Freestyle,JR
12,1650.0,7.0,15:51.17,"Cuthbert, West",14.0,15:47.69,13.0,Yale,Freestyle,FR
13,1650.0,7.0,15:52.18,"Akers-Campbell, Seth",13.0,16:25.70,14.0,Brown,Freestyle,FR
14,1650.0,7.0,15:53.84,"Fujinaka, Danny",12.0,16:28.39,15.0,Brown,Freestyle,FR
15,1650.0,7.0,15:58.24,"Stephenson, Harry",11.0,16:05.04,16.0,Columbia,Freestyle,FR
16,1650.0,7.0,15:58.30,"Smith, Alex",9.0,16:41.10,17.0,Columbia,Freestyle,JR
17,1650.0,7.0,16:01.35,"Itzkowitz, Ben",7.0,9:50.04,18.0,Cornell,Freestyle,FR
18,1650.0,7.0,16:01.42,"Mackenzie, Sean",6.0,16:03.20,19.0,Columbia,Freestyle,SO
19,1650.0,7.0,16:10.57,"Margherio, Jay",5.0,9:58.50,20.0,Dartmouth,Freestyle,SO
20,1650.0,7.0,16:14.43,"Anderson, Eric",4.0,9:49.68,21.0,Cornell,Freestyle,JR
21,1650.0,7.0,16:17.74,"Clarke, Danny",3.0,16:16.07,22.0,Yale,Freestyle,FR
22,1650.0,7.0,16:27.88,"Littlefield, Ryan",2.0,16:04.78,23.0,Pennsylvania,Freestyle,SO
23,1650.0,7.0,16:40.39,"Speroni, Samuel",1.0,17:04.03,24.0,Brown,Freestyle,SR
24,1650.0,7.0,16:47.81,"Hug, John",81.0,16:46.32,25.0,Brown,Freestyle,SO
0,400.0,8.0,3:50.30B,"Hanna, Colin",32.0,3:54.36,1.0,Princeton,IM,SR
1,400.0,8.0,3:55.17,"Holcomb, Dean",28.0,3:58.56,2.0,Cornell,IM,SR
2,400.0,8.0,3:56.48,"Janney, Niall",27.0,3:57.27,3.0,Harvard,IM,JR
3,400.0,8.0,3:56.81,"Eyckmans, Robert",26.0,3:56.83,4.0,Columbia,IM,JR
4,400.0,8.0,3:59.72,"Yntema, Douwe",25.0,3:56.20,5.0,Harvard,IM,SR
5,400.0,8.0,4:00.99,"Ting, Jason",24.0,3:58.41,6.0,Harvard,IM,FR
6,400.0,8.0,4:01.56,"Crigler, Danny",23.0,3:57.88,7.0,Harvard,IM,FR
7,400.0,8.0,4:03.02,"Materniak, Eric",22.0,3:57.48,8.0,Princeton,IM,FR
8,400.0,8.0,3:58.95,"Roth, Albert",20.0,3:59.50,9.0,Dartmouth,IM,SO
9,400.0,8.0,4:00.70,"Blackwood, Conor",17.0,3:59.43,10.0,Pennsylvania,IM,SO
10,400.0,8.0,4:01.10,"Shinton, Scott",16.0,4:00.50,11.0,Yale,IM,JR
11,400.0,8.0,4:01.16,"McDermott, Danny",15.0,3:59.35,12.0,Yale,IM,FR
12,400.0,8.0,4:02.02,"Chu, Marco",14.0,4:02.87,13.0,Dartmouth,IM,SR
13,400.0,8.0,4:02.14,"Kikuchi, Ryan",13.0,4:01.60,14.0,Brown,IM,SR
14,400.0,8.0,4:04.76,"Harpham, Harry",12.0,4:03.21,15.0,Cornell,IM,FR
15,400.0,8.0,4:06.20,"Stephenson, Harry",11.0,3:59.48,16.0,Columbia,IM,FR
16,400.0,8.0,4:02.13,"Lovett, Jared",9.0,4:14.18,17.0,Yale,IM,SO
17,400.0,8.0,4:04.11,"Gutnayer, Dan",7.0,4:03.60,18.0,Pennsylvania,IM,SO
18,400.0,8.0,4:06.08,"Chance, Joe",6.0,4:05.45,19.0,Dartmouth,IM,SO
19,400.0,8.0,4:06.37,"Slater, Ian",5.0,4:04.94,20.0,Brown,IM,SO
20,400.0,8.0,4:09.49,"Luu, Chris",4.0,4:15.04,21.0,Yale,IM,JR
21,400.0,8.0,4:10.42,"Harding, Matt",3.0,4:14.08,22.0,Dartmouth,IM,SO
22,400.0,8.0,4:10.46,"Driessen, Jack",2.0,4:10.40,23.0,Dartmouth,IM,JR
0,100.0,9.0,48.18B,"Bicer, Goksu",32.0,48.39,1.0,Yale,Butterfly,JR
1,100.0,9.0,48.33B,"Dominski, Mike",28.0,48.56,2.0,Yale,Butterfly,SO
2,100.0,9.0,48.39,"Monovoukas, Michael",27.0,48.36,3.0,Princeton,Butterfly,JR
3,100.0,9.0,48.44,"Veatch, Kyle",26.0,48.45,4.0,Yale,Butterfly,SR
4,100.0,9.0,48.96,"Derdeyn, Will",25.0,48.66,5.0,Dartmouth,Butterfly,SO
5,100.0,9.0,49.19,"Tan, Nicholas",24.0,49.19,6.0,Harvard,Butterfly,JR
6,100.0,9.0,49.28,"Raigla, Kaspar",23.0,49.15,7.0,Princeton,Butterfly,SO
7,100.0,9.0,49.29,"Esquen, Bruno",22.0,49.06,8.0,Columbia,Butterfly,JR
8,100.0,9.0,48.87,"Wang, Charlie",20.0,49.52,9.0,Princeton,Butterfly,JR
9,100.0,9.0,49.16,"Li, Ray",17.0,49.37,10.0,Dartmouth,Butterfly,JR
10,100.0,9.0,49.73,"Amos, Peter",16.0,49.57,11.0,Pennsylvania,Butterfly,JR
11,100.0,9.0,49.80,"Lee, Oliver",15.0,49.86,12.0,Harvard,Butterfly,FR
12,100.0,9.0,49.82,"Johnson, Mike",14.0,49.78,13.0,Brown,Butterfly,SO
13,100.0,9.0,49.89,"Boone, Matt",13.0,50.12,14.0,Yale,Butterfly,JR
14,100.0,9.0,50.09,"Stepanian, Mark",12.0,49.48,15.0,Cornell,Butterfly,SO
15,100.0,9.0,50.42,"Brazitis, Kevin",11.0,50.00,16.0,Cornell,Butterfly,JR
16,100.0,9.0,50.14,"Schultz, Kai",9.0,50.86,17.0,Columbia,Butterfly,FR
17,100.0,9.0,50.19,"Pretto, Jack",7.0,50.30,18.0,Harvard,Butterfly,FR
18,100.0,9.0,50.38,"Keady, James",6.0,50.60,19.0,Cornell,Butterfly,JR
19,100.0,9.0,50.83,"Benster, Tyler",5.0,50.53,20.0,Brown,Butterfly,SO
20,100.0,9.0,50.93,"Choi, Jason",4.0,51.19,21.0,Yale,Butterfly,SR
21,100.0,9.0,50.96,"North, Andrew",3.0,50.97,22.0,Dartmouth,Butterfly,FR
22,100.0,9.0,51.24,"Ahern, Mickey",2.0,50.42,23.0,Dartmouth,Butterfly,JR
23,100.0,9.0,51.81,"Taylor, Austin",1.0,51.22,24.0,Cornell,Butterfly,FR
0,200.0,10.0,1:36.53B,"Lee, Hyun",32.0,1:37.66,1.0,Columbia,Freestyle,SR
1,200.0,10.0,1:36.63B,"Cordes, Colin",28.0,1:38.12,2.0,Princeton,Freestyle,JR
2,200.0,10.0,1:36.84B,"Lawley, Will",27.0,1:37.72,3.0,Princeton,Freestyle,SO
3,200.0,10.0,1:37.19B,"Satterthwaite, Chris",26.0,1:38.27,4.0,Harvard,Freestyle,FR
4,200.0,10.0,1:38.56,"Goodman, Spenser",25.0,1:38.76,5.0,Harvard,Freestyle,FR
5,200.0,10.0,1:38.82,"Wright, John",24.0,1:38.13,6.0,Columbia,Freestyle,SO
6,200.0,10.0,1:39.15,"McNamara, Travis",23.0,1:39.43,7.0,Princeton,Freestyle,JR
7,200.0,10.0,1:39.56,"Roop, Gregory",22.0,1:39.42,8.0,Harvard,Freestyle,SO
8,200.0,10.0,1:39.02,"Glenn, Tommy",20.0,1:40.39,9.0,Brown,Freestyle,FR
9,200.0,10.0,1:39.83,"Hunter, James",17.0,1:39.46,10.0,Brown,Freestyle,JR
10,200.0,10.0,1:40.10,"Killian, Pat",16.0,1:39.84,11.0,Yale,Freestyle,FR
11,200.0,10.0,1:40.46,"Keady, Chris",15.0,1:39.98,12.0,Cornell,Freestyle,SR
12,200.0,10.0,1:40.83,"Becker, Ed",14.0,1:40.62,13.0,Yale,Freestyle,FR
13,200.0,10.0,1:41.06,"Tung, Andres",13.0,1:41.18,14.0,Princeton,Freestyle,SO
14,200.0,10.0,1:41.33,"Kalish, Alex",12.0,1:41.32,15.0,Pennsylvania,Freestyle,SR
15,200.0,10.0,1:41.43,"Margherio, Jay",11.0,1:41.27,16.0,Dartmouth,Freestyle,SO
16,200.0,10.0,1:41.55,"Scott, Henry",9.0,1:41.80,17.0,Cornell,Freestyle,FR
17,200.0,10.0,1:41.87,"Tan, Daniel",7.0,1:41.33,18.0,Columbia,Freestyle,FR
18,200.0,10.0,1:41.91,"Hill, John",6.0,1:41.69,19.0,Dartmouth,Freestyle,JR
19,200.0,10.0,1:42.19,"Lullo, Brett",5.0,1:41.57,20.0,Princeton,Freestyle,SR
20,200.0,10.0,1:42.59,"Gaissert, Philipp",4.0,1:42.49,21.0,Columbia,Freestyle,FR
21,200.0,10.0,1:42.65,"Tompkins, Michael",3.0,1:42.08,22.0,Pennsylvania,Freestyle,SR
22,200.0,10.0,1:42.83,"Beaulieu, Nicholas",2.0,1:42.56,23.0,Princeton,Freestyle,FR
23,200.0,10.0,1:43.16,"Fleming, Christopher",1.0,1:42.36,24.0,Pennsylvania,Freestyle,SO
0,100.0,11.0,53.66M,"McHugh, Brendan",32.0,54.31,1.0,Pennsylvania,Breaststroke,JR
1,100.0,11.0,54.28B,"Christensen, Jonathan",28.0,54.82,2.0,Princeton,Breaststroke,JR
2,100.0,11.0,54.77B,"Carlucci, Conor",27.0,55.38,3.0,Brown,Breaststroke,SR
3,100.0,11.0,56.09,"Park, Kyung",26.0,56.10,4.0,Princeton,Breaststroke,FR
4,100.0,11.0,56.57,"Mai, Erik",24.5,56.69,5.0,Columbia,Breaststroke,SO
5,100.0,11.0,56.57,"Ting, Jason",24.5,56.36,5.0,Harvard,Breaststroke,FR
6,100.0,11.0,56.74,"Juhn, Timothy",23.0,57.02,7.0,Brown,Breaststroke,JR
7,100.0,11.0,57.07,"Stumpf, Matt",22.0,57.21,8.0,Dartmouth,Breaststroke,JR
8,100.0,11.0,56.91,"Swallow, Matthew",20.0,57.53,9.0,Columbia,Breaststroke,FR
9,100.0,11.0,57.12,"Sidman, John-Howard",17.0,57.27,10.0,Columbia,Breaststroke,JR
10,100.0,11.0,57.17,"Kwartler, Steven",16.0,57.49,11.0,Cornell,Breaststroke,JR
11,100.0,11.0,57.33,"Fisher, Jake",15.0,57.74,12.0,Cornell,Breaststroke,SR
12,100.0,11.0,57.42,"Traub, Eric",14.0,57.82,13.0,Columbia,Breaststroke,FR
13,100.0,11.0,57.75,"Davidson, Justin",13.0,57.31,14.0,Harvard,Breaststroke,SR
14,100.0,11.0,58.07,"Heyburn, Will",12.0,57.41,15.0,Harvard,Breaststroke,SR
15,100.0,11.0,58.74,"Materniak, Eric",11.0,57.72,16.0,Princeton,Breaststroke,FR
16,100.0,11.0,57.27,"Wurzbacher, Owen",9.0,58.28,17.0,Harvard,Breaststroke,SO
17,100.0,11.0,58.38,"Luu, Chris",7.0,58.33,18.0,Yale,Breaststroke,JR
18,100.0,11.0,58.50,"Chan, Julian",6.0,58.11,19.0,Cornell,Breaststroke,JR
19,100.0,11.0,58.60,"Shilton, Robbie",5.0,57.82,20.0,Pennsylvania,Breaststroke,JR
20,100.0,11.0,58.71,"Lenkeit, Michael",3.5,58.37,21.0,Dartmouth,Breaststroke,SO
21,100.0,11.0,58.71,"McDermott, Danny",3.5,58.32,21.0,Yale,Breaststroke,FR
22,100.0,11.0,58.87,"Goldsmith, Sam",2.0,58.27,23.0,Yale,Breaststroke,SR
23,100.0,11.0,58.95,"Krey, Matt",1.0,58.27,24.0,Pennsylvania,Breaststroke,JR
0,100.0,12.0,48.11B,"Raigla, Kaspar",32.0,49.13,1.0,Princeton,Backstroke,SO
1,100.0,12.0,48.78,"Powell, Adam",28.0,49.29,2.0,Columbia,Backstroke,SR
2,100.0,12.0,49.03,"Pretto, Jack",27.0,49.58,3.0,Harvard,Backstroke,FR
3,100.0,12.0,49.10,"Bailey, Johnny",26.0,49.15,4.0,Columbia,Backstroke,JR
4,100.0,12.0,49.91,"Dominski, Mike",25.0,49.48,5.0,Yale,Backstroke,SO
5,100.0,12.0,49.98,"Newell, Robert",24.0,49.81,6.0,Harvard,Backstroke,JR
6,100.0,12.0,50.25,"Ahern, Mickey",23.0,49.84,7.0,Dartmouth,Backstroke,JR
7,100.0,12.0,50.64,"Dougherty, Patrick",22.0,49.91,8.0,Columbia,Backstroke,SO
8,100.0,12.0,50.25,"Wang, Charlie",20.0,50.82,9.0,Princeton,Backstroke,JR
9,100.0,12.0,50.48,"Johnson, Nick",17.0,50.01,10.0,Pennsylvania,Backstroke,SO
10,100.0,12.0,50.52,"McVicker, Mike",16.0,50.27,11.0,Brown,Backstroke,SO
11,100.0,12.0,50.77,"Gornitzky, Alex",15.0,50.96,12.0,Yale,Backstroke,SR
12,100.0,12.0,50.82,"Worster, Rhoads",14.0,50.04,13.0,Pennsylvania,Backstroke,FR
13,100.0,12.0,51.07,"Hunter, Paul",13.0,50.66,14.0,Brown,Backstroke,FR
14,100.0,12.0,51.10,"Lebovitz, Adam",12.0,50.71,15.0,Princeton,Backstroke,FR
15,100.0,12.0,53.24,"Faux, Geoffrey",11.0,51.07,16.0,Princeton,Backstroke,SR
16,100.0,12.0,50.94,"Sangren, Jake",9.0,51.18,17.0,Cornell,Backstroke,SO
17,100.0,12.0,51.18,"Long, Matt",7.0,51.12,18.0,Dartmouth,Backstroke,FR
18,100.0,12.0,51.65,"Taylor, Austin",6.0,51.86,19.0,Cornell,Backstroke,FR
19,100.0,12.0,51.99,"Catanese, Ben",5.0,52.13,20.0,Cornell,Backstroke,FR
20,100.0,12.0,52.07,"Boone, Matt",4.0,51.82,21.0,Yale,Backstroke,JR
21,100.0,12.0,52.36,"Benster, Tyler",3.0,51.80,22.0,Brown,Backstroke,SO
22,100.0,12.0,52.37,"Li, Ray",2.0,52.15,23.0,Dartmouth,Backstroke,JR
23,100.0,12.0,52.40,"Choi, Jason",1.0,51.70,24.0,Yale,Backstroke,SR
0,3.0,13.0,351.95,"Vines, Stephen",32.0,324.27,1.0,Princeton,Diving,SO
1,3.0,13.0,340.35,"Ranta, Zac",28.0,314.52,2.0,Harvard,Diving,SR
2,3.0,13.0,308.30,"Pramer, Tyler",27.0,299.16,3.0,Yale,Diving,FR
3,3.0,13.0,303.85,"Truong, Phillip",26.0,281.10,4.0,Cornell,Diving,FR
4,3.0,13.0,300.20,"Olson, Eric",25.0,296.28,5.0,Yale,Diving,SR
5,3.0,13.0,277.95,"Cragg, Jeff",24.0,287.34,6.0,Pennsylvania,Diving,JR
6,3.0,13.0,276.70,"Zarrella, Joe",23.0,288.42,7.0,Harvard,Diving,FR
7,3.0,13.0,265.35,"Wells, Tom",22.0,309.57,8.0,Princeton,Diving,JR
8,3.0,13.0,366.87,"Stanton, Michael",20.0,272.49,9.0,Harvard,Diving,SO
9,3.0,13.0,307.11,"Collazo, Jason",17.0,276.93,10.0,Columbia,Diving,SO
10,3.0,13.0,294.15,"Marple, Alex",16.0,279.33,11.0,Pennsylvania,Diving,JR
11,3.0,13.0,280.29,"O'Connell, Mark",15.0,247.86,12.0,Princeton,Diving,FR
12,3.0,13.0,264.12,"Plante, Chris",14.0,245.43,13.0,Dartmouth,Diving,JR
13,3.0,13.0,252.90,"Brown, Michael",13.0,255.39,14.0,Dartmouth,Diving,SR
14,3.0,13.0,245.19,"Weill, Benjamin",12.0,249.33,15.0,Dartmouth,Diving,FR
15,3.0,13.0,243.99,"Zollo, Jon",11.0,258.42,16.0,Cornell,Diving,SO
0,1000.0,15.0,9:03.37,"Zupan, Nejc",32.0,9:25.55,1.0,Dartmouth,Freestyle,FR
1,1000.0,15.0,9:06.61,"Nolle, Paul",28.0,9:22.08,2.0,Princeton,Freestyle,FR
2,1000.0,15.0,9:07.91,"Stearns, Wes",27.0,9:19.81,3.0,Harvard,Freestyle,FR
3,1000.0,15.0,9:15.63,"McNamara, Travis",26.0,9:28.19,4.0,Princeton,Freestyle,JR
4,1000.0,15.0,9:15.90,"Hanna, Colin",25.0,9:28.27,5.0,Princeton,Freestyle,SR
5,1000.0,15.0,9:19.78,"Wilson, Taylor",24.0,9:33.96,6.0,Cornell,Freestyle,FR
6,1000.0,15.0,9:22.00,"Lewkowitz, Blake",23.0,9:26.81,7.0,Harvard,Freestyle,SR
7,1000.0,15.0,9:22.21,"Gabel, Dylan",22.0,9:27.06,8.0,Dartmouth,Freestyle,FR
8,1000.0,15.0,9:23.69,"Hood, Cam",20.0,9:38.94,9.0,Pennsylvania,Freestyle,JR
9,1000.0,15.0,9:24.97,"Lee, Matt",17.0,9:23.81,10.0,Yale,Freestyle,SR
10,1000.0,15.0,9:25.48,"Goodman, Spenser",16.0,9:25.48,11.0,Harvard,Freestyle,FR
11,1000.0,15.0,9:26.83,"Carroll, Stephen",15.0,9:25.34,12.0,Pennsylvania,Freestyle,SO
