,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:22.13B,"Wollner, Samuel",32.0,4:22.32,1.0,Harvard,Freestyle,SR
1,500.0,2.0,4:22.17B,"Lynch, Eric",28.0,4:26.45,2.0,Harvard,Freestyle,JR
2,500.0,2.0,4:22.93B,"Newman, Wes",27.0,4:25.10,3.0,Cornell,Freestyle,JR
3,500.0,2.0,4:24.81B,"Brunnick, Mason",26.0,4:26.07,4.0,Harvard,Freestyle,SO
4,500.0,2.0,4:26.09B,"Meyer, Alex",25.0,4:27.06,5.0,Harvard,Freestyle,SO
5,500.0,2.0,4:27.25B,"Hunter, Erik",24.0,4:27.36,6.0,Navy,Freestyle,FR
6,500.0,2.0,4:27.57,"Fee, James",23.0,4:27.13,7.0,Pennsylvania,Freestyle,SO
7,500.0,2.0,4:27.97,"Volosin, Peter",22.0,4:27.21,8.0,Brown,Freestyle,SR
8,500.0,2.0,4:27.63,"Lee, Hyun",20.0,4:30.10,9.0,Columbia,Freestyle,JR
9,500.0,2.0,4:28.77,"Lewkowitz, Blake",17.0,4:29.22,10.0,Harvard,Freestyle,FR
10,500.0,2.0,4:29.20,"Griest, Robert",16.0,4:31.06,11.0,Princeton,Freestyle,JR
11,500.0,2.0,4:29.25,"Yntema, Douwe",15.0,4:30.10,12.0,Harvard,Freestyle,FR
12,500.0,2.0,4:31.26,"Biggs, Pat",14.0,4:31.20,13.0,Princeton,Freestyle,FR
13,500.0,2.0,4:31.66,"Cousins, Sebastian",13.0,4:30.29,14.0,Yale,Freestyle,JR
14,500.0,2.0,4:32.53,"Wakefield, Kevin",12.0,4:29.79,15.0,Columbia,Freestyle,JR
15,500.0,2.0,4:34.65,"Fog, Henning",11.0,4:31.91,16.0,Columbia,Freestyle,SR
16,500.0,2.0,4:30.66,"Lee, Matt",9.0,4:33.80,17.0,Yale,Freestyle,FR
17,500.0,2.0,4:31.54,"Kikuchi, Ryan",7.0,4:34.66,18.0,Brown,Freestyle,FR
18,500.0,2.0,4:32.62,"Lascara, James",6.0,4:34.92,19.0,Navy,Freestyle,SO
19,500.0,2.0,4:32.90,"Diehl, Porter",5.0,4:33.08,20.0,Dartmouth,Freestyle,JR
20,500.0,2.0,4:33.12,"Eckel, Dan",4.0,4:32.74,21.0,Princeton,Freestyle,JR
21,500.0,2.0,4:33.46,"Byzov, Ilya",3.0,4:34.82,22.0,Yale,Freestyle,JR
22,500.0,2.0,4:34.30,"Buncher, Stan",2.0,4:34.34,23.0,Princeton,Freestyle,SR
23,500.0,2.0,4:34.33,"McCloskey, Dennen",1.0,4:33.64,24.0,Yale,Freestyle,JR
0,200.0,3.0,1:45.62A,"Rathgeber, Geoff",32.0,1:47.24,1.0,Harvard,IM,SR
1,200.0,3.0,1:48.57B,"Schaffer, Will",28.0,1:50.25,2.0,Princeton,IM,JR
2,200.0,3.0,1:48.69B,"Meyer, Adam",27.0,1:50.11,3.0,Navy,IM,SO
3,200.0,3.0,1:49.10B,"Quemena, Christopher",26.0,1:49.66,4.0,Princeton,IM,SO
4,200.0,3.0,1:49.98,"Campbell, Nick",25.0,1:50.18,5.0,Cornell,IM,SO
5,200.0,3.0,1:50.31,"Pagan, Darren",24.0,1:50.19,6.0,Columbia,IM,SO
6,200.0,3.0,1:50.36,"Hanna, Colin",23.0,1:50.24,7.0,Princeton,IM,FR
7,200.0,3.0,1:50.99,"Davidson, Justin",22.0,1:50.54,8.0,Harvard,IM,FR
8,200.0,3.0,1:50.77,"Hartmann, Jon",20.0,1:51.82,9.0,Princeton,IM,SO
9,200.0,3.0,1:50.84,"Bowen, Michael",17.0,1:51.20,10.0,Harvard,IM,SR
10,200.0,3.0,1:52.30,"Jenkins, Chris",16.0,1:51.85,11.0,Navy,IM,SR
11,200.0,3.0,1:52.40,"Rubenstein, Billy",15.0,1:52.55,12.0,Yale,IM,SR
12,200.0,3.0,1:52.71,"Lullo, Brett",14.0,1:51.18,13.0,Princeton,IM,FR
13,200.0,3.0,1:52.87,"Ebersole, Bern",13.0,1:52.27,14.0,Princeton,IM,JR
14,200.0,3.0,1:53.83,"Vey, Billy",12.0,1:52.35,15.0,Navy,IM,JR
15,200.0,3.0,1:55.10,"Chen, Easton",11.0,1:52.71,16.0,Princeton,IM,JR
16,200.0,3.0,1:51.63,"Jones, Dan",9.0,1:52.87,17.0,Harvard,IM,JR
17,200.0,3.0,1:52.92,"Cohen, Jesse",7.0,1:52.83,18.0,Navy,IM,FR
18,200.0,3.0,1:53.50,"Yeager, Kyle",6.0,1:53.63,19.0,Pennsylvania,IM,FR
19,200.0,3.0,1:53.63,"Keady, Chris",5.0,1:53.75,20.0,Cornell,IM,FR
20,200.0,3.0,1:53.67,"Lynch, Jed",4.0,1:53.86,21.0,Yale,IM,SR
21,200.0,3.0,1:53.73,"Carlucci, Conor",3.0,1:52.96,22.0,Brown,IM,FR
22,200.0,3.0,1:54.16,"Oates, Nick",2.0,1:53.31,23.0,Cornell,IM,SR
23,200.0,3.0,1:55.99,"Chu, Marco",1.0,1:54.22,24.0,Dartmouth,IM,FR
0,50.0,4.0,19.60A,"Righi, Alex",32.0,20.10,1.0,Yale,Freestyle,JR
1,50.0,4.0,20.10B,"Kelly, Brian",28.0,20.27,2.0,Brown,Freestyle,SR
2,50.0,4.0,20.14B,"Faux, Geoff",27.0,20.40,3.0,Princeton,Freestyle,FR
