,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:19.20,"Harder, Rob",32.0,4:21.88,1.0,Yale,Freestyle,19
1,500.0,2.0,4:20.62,"Koll, Dominik",28.0,4:21.10,2.0,Columbia,Freestyle,28
2,500.0,2.0,4:21.82,"Swanson, Chris",27.0,4:22.51,3.0,Penn,Freestyle,18
3,500.0,2.0,4:23.26,"Dominski, Mike",26.0,4:25.04,4.0,Yale,Freestyle,22
4,500.0,2.0,4:23.60,"Kekacs, Steven",25.0,4:23.04,5.0,Harvard,Freestyle,19
5,500.0,2.0,4:24.49,"Mayfield, Cory",24.0,4:26.39,6.0,Brown,Freestyle,19
6,500.0,2.0,4:24.63,"Hogan, Brian",23.0,4:22.92,7.0,Yale,Freestyle,18
7,500.0,2.0,4:32.05,"Nolle, Paul",22.0,4:26.72,8.0,Princeton,Freestyle,21
8,500.0,2.0,4:24.45,"Oh, Jun",20.0,4:27.55,9.0,Dartmouth,Freestyle,19
9,500.0,2.0,4:25.86,"Rocca, Tyler",17.0,4:27.94,10.0,Harvard,Freestyle,18
10,500.0,2.0,4:28.13,"Roop, Gregory",16.0,4:27.43,11.0,Harvard,Freestyle,22
11,500.0,2.0,4:28.42,"Ridout, Zach",15.0,4:29.47,12.0,Princeton,Freestyle,19
12,500.0,2.0,4:28.50,"Gabel, Dylan",14.0,4:27.50,13.0,Dartmouth,Freestyle,20
13,500.0,2.0,4:30.01,"Wilson, Taylor",13.0,4:28.23,14.0,Cornell,Freestyle,20
14,500.0,2.0,4:31.49,"Mango, Alex",12.0,4:29.26,15.0,Columbia,Freestyle,18
15,500.0,2.0,4:31.87,"Vivadelli, Christi",11.0,4:29.24,16.0,Columbia,Freestyle,19
16,500.0,2.0,4:26.73,"Gaudiani, Mike",9.0,4:29.88,17.0,Harvard,Freestyle,19
17,500.0,2.0,4:26.84,"Wachenfeld, Bradle",7.0,4:30.66,18.0,"Wachenfeld,",Freestyle,18
18,500.0,2.0,4:28.13,"McIntee, Kyle",6.0,4:31.47,19.0,Harvard,Freestyle,20
19,500.0,2.0,4:30.24,"Briggs, Logan",5.0,4:32.09,20.0,Dartmouth,Freestyle,19
20,500.0,2.0,4:30.36,"Carroll, Stephen",4.0,4:30.49,21.0,Penn,Freestyle,22
21,500.0,2.0,4:30.78,"Reynolds, Michael",3.0,4:31.42,22.0,Cornell,Freestyle,19
22,500.0,2.0,4:31.49,"Barr, Brian",2.0,4:31.22,23.0,Brown,Freestyle,20
23,500.0,2.0,4:38.09,"Hauss, Michael",1.0,4:31.13,24.0,Princeton,Freestyle,19
24,500.0,2.0,4:32.88,"Yang, Will",0.0,N/A,25.0,Yale,Freestyle,18
25,500.0,2.0,4:32.91,"Saenger, Ryan",0.0,N/A,26.0,Brown,Freestyle,18
26,500.0,2.0,4:34.11,"Noort, Eric",0.0,N/A,27.0,Penn,Freestyle,19
27,500.0,2.0,4:35.18,"Elias, Alex",0.0,N/A,28.0,Penn,Freestyle,19
28,500.0,2.0,4:36.32,"Ruddy, Sam",0.0,N/A,29.0,Penn,Freestyle,20
29,500.0,2.0,4:37.88,"Margherio, Jay",0.0,N/A,30.0,Dartmouth,Freestyle,21
30,500.0,2.0,4:37.96,"Schnaars, George",0.0,N/A,31.0,Cornell,Freestyle,18
