,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:24.07,"Smit, Mike",30.0,4:25.94,1.0,Cornell,Freestyle,SR
1,500.0,2.0,4:24.07,"Newman, Wes",30.0,4:26.28,1.0,Cornell,Freestyle,SO
2,500.0,2.0,4:24.19,"Wollner, Samuel",27.0,4:26.38,3.0,Harvard,Freestyle,JR
3,500.0,2.0,4:26.09,"Lynch, Eric",26.0,4:26.51,4.0,Harvard,Freestyle,SO
4,500.0,2.0,4:27.74,"Lee, Hyun",25.0,4:26.12,5.0,Columbia,Freestyle,SO
5,500.0,2.0,4:28.00,"Griest, Robert",24.0,4:28.10,6.0,Princeton,Freestyle,SO
6,500.0,2.0,4:28.74,"Foss, Andrew",23.0,4:27.78,7.0,Yale,Freestyle,SR
7,500.0,2.0,4:32.30,"Ashley, Dave",22.0,4:28.28,8.0,Princeton,Freestyle,SR
8,500.0,2.0,4:27.88,"Brunnick, Mason",20.0,4:29.86,9.0,Harvard,Freestyle,FR
9,500.0,2.0,4:29.19,"Ellis, Kevin",17.0,4:29.18,10.0,Dartmouth,Freestyle,SO
10,500.0,2.0,4:30.38,"Meyer, Alex",16.0,4:30.10,11.0,Harvard,Freestyle,FR
11,500.0,2.0,4:30.89,"Eckel, Dan",15.0,4:29.98,12.0,Princeton,Freestyle,SO
12,500.0,2.0,4:31.32,"Volosin, Peter",14.0,4:31.08,13.0,Brown,Freestyle,JR
13,500.0,2.0,4:32.42,"Buncher, Stan",13.0,4:30.64,14.0,Princeton,Freestyle,JR
14,500.0,2.0,4:32.84,"Flemming, Danny",12.0,4:31.59,15.0,Navy,Freestyle,SR
15,500.0,2.0,4:33.27,"Abbott, Jake",11.0,4:32.04,16.0,Columbia,Freestyle,SR
16,500.0,2.0,4:28.92,"Mukri, Kevin",9.0,4:32.17,17.0,Navy,Freestyle,SR
17,500.0,2.0,4:30.78,"McCloskey, Dennen",7.0,4:32.63,18.0,Yale,Freestyle,SO
18,500.0,2.0,4:31.94,"Wakefield, Kevin",6.0,4:32.28,19.0,Columbia,Freestyle,SO
19,500.0,2.0,4:32.44,"Gray, Thomas",5.0,4:32.12,20.0,Harvard,Freestyle,FR
20,500.0,2.0,4:32.45,"Cousins, Sebastian",4.0,4:33.32,21.0,Yale,Freestyle,SO
21,500.0,2.0,4:34.85,"McGrath, Jason",3.0,4:34.46,22.0,Pennsylvania,Freestyle,SR
22,500.0,2.0,4:36.95,"Fog, Henning",2.0,4:32.05,23.0,Columbia,Freestyle,JR
23,500.0,2.0,4:37.79,"Guthmann, David",1.0,4:34.53,24.0,Navy,Freestyle,SO
0,200.0,3.0,1:44.67,"Rathgeber, Geoff",32.0,1:48.88,1.0,Harvard,IM,JR
1,200.0,3.0,1:48.53,"Schaffer, Will",28.0,1:49.26,2.0,Princeton,IM,SO
2,200.0,3.0,1:50.01,"Hasbani, Meir",27.0,1:49.66,3.0,Princeton,IM,SR
3,200.0,3.0,1:50.90,"Ruse, Tim",26.0,1:51.25,4.0,Princeton,IM,SR
4,200.0,3.0,1:50.93,"Meyer, Adam",24.5,1:51.44,5.0,Navy,IM,FR
5,200.0,3.0,1:50.93,"Fitzpatrick, Luke",24.5,1:50.85,5.0,Columbia,IM,SR
6,200.0,3.0,1:51.11,"Quemena, Chris",23.0,1:50.71,7.0,Princeton,IM,FR
7,200.0,3.0,1:51.51,"Hartmann, Jon",22.0,1:51.53,8.0,Princeton,IM,FR
8,200.0,3.0,1:51.23,"Pagan, Darren",20.0,1:51.62,9.0,Columbia,IM,FR
9,200.0,3.0,1:52.30,"Chen, Easton",17.0,1:52.34,10.0,Princeton,IM,SO
10,200.0,3.0,1:52.59,"Jones, Dan",16.0,1:52.29,11.0,Harvard,IM,SO
11,200.0,3.0,1:52.63,"O'Mara, Michael",15.0,1:52.89,12.0,Brown,IM,SR
12,200.0,3.0,1:52.88,"Ott, Mike",14.0,1:52.84,13.0,Princeton,IM,SR
13,200.0,3.0,1:52.91,"Rubenstein, Billy",13.0,1:52.67,14.0,Yale,IM,JR
14,200.0,3.0,1:53.38,"Jenkins, Christopher",12.0,1:52.36,15.0,Navy,IM,JR
15,200.0,3.0,1:53.46,"Bowen, Michael",11.0,1:52.81,16.0,Harvard,IM,JR
16,200.0,3.0,1:51.95,"Vey, Billy",9.0,1:53.15,17.0,Navy,IM,SO
17,200.0,3.0,1:53.16,"Dufek, Chris",7.0,1:52.95,18.0,Yale,IM,SR
18,200.0,3.0,1:53.42,"Campbell, Nick",6.0,1:53.04,19.0,Cornell,IM,FR
19,200.0,3.0,1:53.54,"Alexander, Richard",5.0,1:53.98,20.0,Brown,IM,SO
20,200.0,3.0,1:53.76,"Silvester, Alex",4.0,1:54.38,21.0,Pennsylvania,IM,SR
21,200.0,3.0,1:54.45,"Kysiak, Kevin",3.0,1:54.63,22.0,Navy,IM,JR
22,200.0,3.0,1:54.47,"Melillo, Simone",2.0,1:54.19,23.0,Harvard,IM,FR
23,200.0,3.0,1:54.71,"Oates, Nick",1.0,1:54.48,24.0,Cornell,IM,JR
0,50.0,4.0,19.68,"Righi, Alex",32.0,20.22,1.0,Yale,Freestyle,SO
1,50.0,4.0,20.43,"Quinn, Pat",28.0,20.39,2.0,Harvard,Freestyle,JR
2,50.0,4.0,20.48,"Kelly, Brian",27.0,20.48,3.0,Brown,Freestyle,JR
3,50.0,4.0,20.49,"Guernsey, David",25.5,20.61,4.0,Harvard,Freestyle,SO
4,50.0,4.0,20.49,"White, Tobin",25.5,20.61,4.0,Columbia,Freestyle,SR
5,50.0,4.0,20.75,"Gorter, Brad",24.0,20.55,6.0,Cornell,Freestyle,JR
6,50.0,4.0,20.77,"Carr, Devon",23.0,20.68,7.0,Pennsylvania,Freestyle,JR
7,50.0,4.0,20.80,"Carter, Mike",22.0,20.65,8.0,Princeton,Freestyle,SO
8,50.0,4.0,20.72,"Baity, Phil",20.0,20.75,9.0,Cornell,Freestyle,SO
9,50.0,4.0,20.83,"Laren, Colin",17.0,20.75,10.0,Cornell,Freestyle,FR
10,50.0,4.0,20.85,"Gallagher, Pat",16.0,20.82,11.0,Pennsylvania,Freestyle,JR
11,50.0,4.0,20.93,"Carey, Kevin",15.0,20.92,12.0,Cornell,Freestyle,SO
12,50.0,4.0,21.03,"Unruh, Joseph",14.0,21.00,13.0,Navy,Freestyle,SO
13,50.0,4.0,21.05,"Oldenkamp, Alex",13.0,20.97,14.0,Navy,Freestyle,SO
14,50.0,4.0,21.14,"Mihalko, Preston",12.0,20.91,15.0,Navy,Freestyle,SO
15,50.0,4.0,21.23,"Pool, Chris",11.0,20.92,16.0,Yale,Freestyle,SO
16,50.0,4.0,20.81,"Baity, Mike",9.0,21.06,17.0,Princeton,Freestyle,JR
17,50.0,4.0,21.03,"Dragelin, John",7.0,21.13,18.0,Columbia,Freestyle,SO
18,50.0,4.0,21.10,"Ko, Steven",6.0,21.14,19.0,Columbia,Freestyle,SO
19,50.0,4.0,21.18,"Hug, Kevin",5.0,21.15,20.0,Brown,Freestyle,JR
20,50.0,4.0,21.19,"Wetmore, Tucker",4.0,21.19,21.0,Brown,Freestyle,FR
21,50.0,4.0,21.28,"Hays, Paris",3.0,21.16,22.0,Brown,Freestyle,FR
22,50.0,4.0,21.42,"Huxley, Trent",2.0,21.16,23.0,Brown,Freestyle,FR
23,50.0,4.0,21.51,"Jones, Bill",1.0,21.09,24.0,Harvard,Freestyle,SO
0,1.0,5.0,305.90,"Sanders, Luke",32.0,277.90,1.0,Harvard,Diving,JR
1,1.0,5.0,294.85,"Papageorge, Mike",28.0,294.00,2.0,Princeton,Diving,FR
2,1.0,5.0,293.80,"Lichtenstein, Jeff",27.0,310.05,3.0,Yale,Diving,JR
3,1.0,5.0,289.35,"Reardon, Justin",26.0,272.35,4.0,Columbia,Diving,JR
4,1.0,5.0,280.60,"Malcolm, Stuart",25.0,279.65,5.0,Princeton,Diving,JR
5,1.0,5.0,272.45,"Galinski, Jonathan",24.0,270.75,6.0,Navy,Diving,SO
6,1.0,5.0,260.55,"Teague, Kevin",23.0,286.20,7.0,Navy,Diving,SR
7,1.0,5.0,243.10,"Niekras, Adam",22.0,273.65,8.0,Navy,Diving,JR
8,1.0,5.0,315.30,"Berry, Andrew",20.0,259.30,9.0,Dartmouth,Diving,JR
9,1.0,5.0,274.95,"Scott, Doug",17.0,261.20,10.0,Yale,Diving,JR
10,1.0,5.0,274.65,"Hayden, Pat",16.0,257.30,11.0,Yale,Diving,JR
11,1.0,5.0,255.75,"Donohoe, Chris",15.0,257.00,12.0,Cornell,Diving,SO
12,1.0,5.0,254.30,"Kambe, CJ",14.0,239.15,13.0,Brown,Diving,FR
13,1.0,5.0,252.25,"Razook, Charlie",13.0,257.55,14.0,Princeton,Diving,SO
14,1.0,5.0,249.75,"Baer, Luke",12.0,259.05,15.0,Cornell,Diving,SR
15,1.0,5.0,248.55,"Dickerson, Dan",11.0,264.00,16.0,Princeton,Diving,FR
0,1000.0,8.0,9:06.36,"Wollner, Samuel",32.0,N/A,1.0,Harvard,Freestyle,JR
1,1000.0,8.0,9:06.64,"Griest, Robert",28.0,N/A,2.0,Princeton,Freestyle,SO
2,1000.0,8.0,9:08.61,"Ashley, Dave",27.0,N/A,3.0,Princeton,Freestyle,SR
3,1000.0,8.0,9:10.18,"Lynch, Eric",26.0,N/A,4.0,Harvard,Freestyle,SO
4,1000.0,8.0,9:12.40,"Fog, Henning",25.0,N/A,5.0,Columbia,Freestyle,JR
5,1000.0,8.0,9:15.52,"Volosin, Peter",24.0,N/A,6.0,Brown,Freestyle,JR
6,1000.0,8.0,9:17.08,"Meyer, Alex",23.0,N/A,7.0,Harvard,Freestyle,FR
7,1000.0,8.0,9:17.20,"Brunnick, Mason",22.0,N/A,8.0,Harvard,Freestyle,FR
8,1000.0,8.0,9:19.88,"Buncher, Stan",20.0,N/A,9.0,Princeton,Freestyle,JR
9,1000.0,8.0,9:21.07,"Ellis, Kevin",17.0,N/A,10.0,Dartmouth,Freestyle,SO
10,1000.0,8.0,9:21.48,"Abbott, Jake",15.5,N/A,11.0,Columbia,Freestyle,SR
11,1000.0,8.0,9:21.48,"Fee, James",15.5,N/A,11.0,Pennsylvania,Freestyle,FR
12,1000.0,8.0,9:26.39,"Reeb, Cody",14.0,N/A,13.0,Navy,Freestyle,FR
13,1000.0,8.0,9:27.76,"Gray, Thomas",13.0,N/A,14.0,Harvard,Freestyle,FR
14,1000.0,8.0,9:28.07,"Cochran, Nick",12.0,N/A,15.0,Cornell,Freestyle,SO
15,1000.0,8.0,9:29.79,"Garber, Kent",11.0,N/A,16.0,Yale,Freestyle,SR
16,1000.0,8.0,9:31.13,"Hutchinson, Jack",9.0,N/A,17.0,Yale,Freestyle,SR
17,1000.0,8.0,9:31.44,"McGrath, Jason",7.0,N/A,18.0,Pennsylvania,Freestyle,SR
18,1000.0,8.0,9:33.27,"Cousins, Sebastian",6.0,N/A,19.0,Yale,Freestyle,SO
19,1000.0,8.0,9:37.65,"Diehl, Porter",5.0,N/A,20.0,Dartmouth,Freestyle,SO
20,1000.0,8.0,9:38.12,"Braunreuther, Joe",4.0,N/A,21.0,Dartmouth,Freestyle,JR
21,1000.0,8.0,9:38.21,"Guthmann, David",3.0,N/A,22.0,Navy,Freestyle,SO
22,1000.0,8.0,9:45.52,"Thompson, Brandon",2.0,N/A,23.0,Pennsylvania,Freestyle,SR
23,1000.0,8.0,9:48.58,"Curran, Jack",1.0,N/A,24.0,Navy,Freestyle,FR
24,1000.0,8.0,9:48.99,"Glenn, Rob",0.99,N/A,25.0,Brown,Freestyle,JR
25,1000.0,8.0,9:52.63,"Andres, Josh",0.63,N/A,26.0,Navy,Freestyle,JR
26,1000.0,8.0,9:55.40,"Stathopoulos, Cary",0.4,N/A,27.0,Dartmouth,Freestyle,FR
0,400.0,9.0,3:47.59,"Rathgeber, Geoff",32.0,3:56.69,1.0,Harvard,IM,JR
1,400.0,9.0,3:51.47,"Hasbani, Meir",28.0,3:54.78,2.0,Princeton,IM,SR
2,400.0,9.0,3:54.70,"Ruse, Tim",27.0,3:57.92,3.0,Princeton,IM,SR
3,400.0,9.0,3:55.38,"Schaffer, Will",26.0,3:55.58,4.0,Princeton,IM,SO
4,400.0,9.0,3:57.42,"Meyer, Adam",25.0,3:56.69,5.0,Navy,IM,FR
5,400.0,9.0,3:58.19,"Quemena, Chris",24.0,3:58.89,6.0,Princeton,IM,FR
6,400.0,9.0,4:01.34,"Rubenstein, Billy",23.0,3:59.59,7.0,Yale,IM,JR
7,400.0,9.0,4:04.70,"Eckel, Dan",22.0,3:59.57,8.0,Princeton,IM,SO
8,400.0,9.0,3:58.42,"Cheung-Lau, Cedric",20.0,4:00.17,9.0,Columbia,IM,SO
9,400.0,9.0,3:58.99,"Glassman, Zachary",17.0,4:00.85,10.0,Columbia,IM,SO
10,400.0,9.0,3:59.30,"Steen, Craig",16.0,4:00.10,11.0,Yale,IM,FR
11,400.0,9.0,3:59.37,"Vey, Billy",15.0,4:01.44,12.0,Navy,IM,SO
12,400.0,9.0,4:00.13,"McCloskey, Dennen",14.0,4:00.34,13.0,Yale,IM,SO
13,400.0,9.0,4:00.69,"Bowen, Michael",13.0,4:01.91,14.0,Harvard,IM,JR
14,400.0,9.0,4:03.01,"Pagan, Darren",12.0,4:00.74,15.0,Columbia,IM,FR
15,400.0,9.0,4:07.80,"Oates, Nick",11.0,4:02.25,16.0,Cornell,IM,JR
16,400.0,9.0,4:02.33,"McElroy, Kyle",9.0,4:02.46,17.0,Yale,IM,SO
17,400.0,9.0,4:03.07,"Ballentine, Andrew",7.0,4:05.03,18.0,Dartmouth,IM,SO
18,400.0,9.0,4:03.74,"Thompson, Brandon",6.0,4:04.44,19.0,Pennsylvania,IM,SR
19,400.0,9.0,4:04.35,"Lascara, James",5.0,4:06.47,20.0,Navy,IM,FR
20,400.0,9.0,4:04.51,"Ramone, Ross",4.0,4:05.12,21.0,Columbia,IM,FR
21,400.0,9.0,4:08.02,"Dierberg, Ryan",3.0,4:08.48,22.0,Pennsylvania,IM,FR
22,400.0,9.0,4:08.17,"Collier, David",2.0,4:08.16,23.0,Columbia,IM,SO
23,400.0,9.0,4:12.47,"Royster, Max",1.0,4:08.48,24.0,Cornell,IM,FR
0,100.0,10.0,47.94,"Lennox, Doug",32.0,48.27,1.0,Princeton,Butterfly,SO
1,100.0,10.0,48.59,"Jones, Dan",28.0,48.86,2.0,Harvard,Butterfly,SO
2,100.0,10.0,48.65,"Jones, Bill",27.0,49.47,3.0,Harvard,Butterfly,SO
3,100.0,10.0,48.87,"Pool, Chris",26.0,48.78,4.0,Yale,Butterfly,SO
4,100.0,10.0,49.13,"Newman, Brad",25.0,49.47,5.0,Cornell,Butterfly,SR
5,100.0,10.0,49.19,"Quinn, Pat",24.0,48.74,6.0,Harvard,Butterfly,JR
6,100.0,10.0,49.36,"Dzialo, Ben",23.0,49.49,7.0,Yale,Butterfly,SR
7,100.0,10.0,50.11,"Laren, Colin",22.0,49.55,8.0,Cornell,Butterfly,FR
8,100.0,10.0,49.31,"Ricketts, Dan",20.0,49.75,9.0,Brown,Butterfly,SO
9,100.0,10.0,49.65,"Degnan-Rojeski, Jason",17.0,49.55,10.0,Harvard,Butterfly,SR
10,100.0,10.0,49.66,"Zee, Mike",16.0,49.97,11.0,Princeton,Butterfly,SR
11,100.0,10.0,49.93,"Robinson, Tom",15.0,49.82,12.0,Yale,Butterfly,FR
