,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:18.92B,"Nolle, Paul",32.0,4:23.46,1.0,Princeton,Freestyle,SO
1,500.0,2.0,4:20.66B,"Harder, Rob",28.0,4:22.68,2.0,Yale,Freestyle,FR
2,500.0,2.0,4:21.68B,"Koll, Dominik",27.0,4:24.00,3.0,Columbia,Freestyle,FR
3,500.0,2.0,4:22.39B,"Lawley, Will",26.0,4:23.29,4.0,Princeton,Freestyle,JR
4,500.0,2.0,4:26.67,"Ginsborg, Josh",25.0,4:26.83,5.0,Yale,Freestyle,FR
5,500.0,2.0,4:26.69,"McIntee, Kyle",24.0,4:23.86,6.0,Harvard,Freestyle,FR
6,500.0,2.0,4:27.18,"Paulk, David",23.0,4:27.14,7.0,Princeton,Freestyle,FR
7,500.0,2.0,4:27.65,"Gaudiani, Mike",22.0,4:27.34,8.0,Harvard,Freestyle,FR
8,500.0,2.0,4:24.76B,"Dominski, Mike",20.0,4:27.69,9.0,Yale,Freestyle,JR
9,500.0,2.0,4:26.60,"Bailey, John",17.0,4:28.22,10.0,Harvard,Freestyle,FR
10,500.0,2.0,4:27.40,"Goodman, Spenser",16.0,4:29.24,11.0,Harvard,Freestyle,SO
11,500.0,2.0,4:27.49,"Gabel, Dylan",15.0,4:29.74,12.0,Dartmouth,Freestyle,SO
12,500.0,2.0,4:28.18,"Carroll, Stephen",14.0,4:30.16,13.0,Penn,Freestyle,JR
13,500.0,2.0,4:29.00,"Snyder, Reed",13.0,4:29.54,14.0,Harvard,Freestyle,FR
14,500.0,2.0,4:29.62,"Glenn, Tommy",12.0,4:28.57,15.0,Brown,Freestyle,SO
15,500.0,2.0,4:31.74,"Hood, Cam",11.0,4:29.37,16.0,Penn,Freestyle,SR
16,500.0,2.0,4:28.00,"Jakl, David",9.0,4:33.50,17.0,Columbia,Freestyle,FR
17,500.0,2.0,4:30.05,"Roop, Gregory",7.0,4:30.39,18.0,Harvard,Freestyle,JR
18,500.0,2.0,4:30.30,"McLean, Matthew",6.0,4:32.22,19.0,Harvard,Freestyle,SR
19,500.0,2.0,4:30.53,"Wickwire, PJ",5.0,4:31.48,20.0,Cornell,Freestyle,FR
20,500.0,2.0,4:30.55,"Wilson, Taylor",4.0,4:34.24,21.0,Cornell,Freestyle,SO
21,500.0,2.0,4:32.24,"Tuten, Caleb",3.0,4:32.03,22.0,Princeton,Freestyle,FR
22,500.0,2.0,4:32.87,"Scott, Henry",2.0,4:34.50,23.0,Cornell,Freestyle,SO
23,500.0,2.0,4:33.82,"Margherio, Jay",1.0,4:34.74,24.0,Dartmouth,Freestyle,JR
24,500.0,2.0,4:35.08,"Itzkowitz, Ben",0.0,4:35.08,25.0,Cornell,Freestyle,SO
25,500.0,2.0,4:35.24,"Barr, Brian",0.0,4:35.24,26.0,Brown,Freestyle,FR
26,500.0,2.0,4:35.68,"Reynolds, Michael",0.0,4:35.68,27.0,Cornell,Freestyle,FR
27,500.0,2.0,4:35.69,"Murphy, Sean",0.0,4:35.69,28.0,Penn,Freestyle,FR
28,500.0,2.0,4:35.78,"Hauss, Michael",0.0,4:35.78,29.0,Princeton,Freestyle,FR
29,500.0,2.0,4:35.94,"Ruddy, Sam",0.0,4:35.94,30.0,Penn,Freestyle,FR
30,500.0,2.0,4:36.01,"Cuthbert, West",0.0,4:36.01,31.0,Yale,Freestyle,SO
31,500.0,2.0,4:36.18,"Harpham, Harry",0.0,4:36.18,32.0,Cornell,Freestyle,SO
32,500.0,2.0,4:36.66,"Noort, Eric",0.0,4:36.66,33.0,Penn,Freestyle,FR
33,500.0,2.0,4:39.40,"McElduff, Michael",0.0,4:39.40,34.0,Penn,Freestyle,FR
34,500.0,2.0,4:39.62,"Becker, Ed",0.0,4:39.62,35.0,Yale,Freestyle,SO
35,500.0,2.0,4:42.27,"Lebovitz, Adam",0.0,4:42.27,36.0,Princeton,Freestyle,SO
36,500.0,2.0,4:47.79,"Hug, John",0.0,4:47.79,37.0,Brown,Freestyle,JR
0,200.0,3.0,1:45.71B,"Christensen, Jonathan",32.0,1:47.74,1.0,Princeton,IM,SR
1,200.0,3.0,1:46.34B,"Katis, Chuck",28.0,1:47.32,2.0,Harvard,IM,FR
2,200.0,3.0,1:47.14B,"Firmansyah, Alwin",27.0,1:48.55,3.0,Yale,IM,FR
3,200.0,3.0,1:47.69B,"Zupan, Nejc",26.0,1:48.03,4.0,Dartmouth,IM,SO
4,200.0,3.0,1:48.43B,"Heymann, Andrew",25.0,1:48.72,5.0,Yale,IM,FR
5,200.0,3.0,1:48.69B,"McHugh, Brendan",24.0,1:48.11,6.0,Penn,IM,SR
6,200.0,3.0,1:48.88B,"Worster, Rhoads",23.0,1:47.79,7.0,Penn,IM,SO
7,200.0,3.0,1:50.58,"Janney, Niall",22.0,1:49.55,8.0,Harvard,IM,SR
8,200.0,3.0,1:49.57,"Bennett, Oliver",20.0,1:50.35,9.0,Princeton,IM,FR
9,200.0,3.0,1:49.85,"McVicker, Mike",17.0,1:50.32,10.0,Brown,IM,JR
10,200.0,3.0,1:50.27,"Traub, Eric",16.0,1:50.74,11.0,Columbia,IM,SO
11,200.0,3.0,1:50.65,"Roth, Albert",15.0,1:50.54,12.0,Dartmouth,IM,JR
12,200.0,3.0,1:50.69,"Newell, Robert",14.0,1:50.60,13.0,Harvard,IM,SR
13,200.0,3.0,1:51.39,"Jager, Conner",13.0,1:50.73,14.0,Princeton,IM,FR
14,200.0,3.0,1:52.39,"Wurzbacher, Owen",12.0,1:50.61,15.0,Harvard,IM,JR
15,200.0,3.0,1:53.65,"May, Eric",11.0,1:50.85,16.0,Cornell,IM,FR
