,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:17.53M,"Swanson, Chris",32.0,4:19.64,1.0,Penn,Freestyle,JR
1,500.0,2.0,4:18.21B,"Smiddy, Samuel",28.0,4:20.17,2.0,Princeton,Freestyle,SO
2,500.0,2.0,4:19.78B,"Hogan, Brian",27.0,4:18.75,3.0,Yale,Freestyle,JR
3,500.0,2.0,4:19.84B,"Hyogo, Kei",26.0,4:19.09,4.0,Yale,Freestyle,FR
4,500.0,2.0,4:21.53B,"Harder, Rob",25.0,4:21.11,5.0,Yale,Freestyle,SR
5,500.0,2.0,4:23.20B,"Khalik, Aly",24.0,4:23.30,6.0,Harvard,Freestyle,SO
6,500.0,2.0,4:23.72B,"Ridout, Zachary",23.0,4:23.60,7.0,Princeton,Freestyle,JR
7,500.0,2.0,4:29.57,"Goodman, Spenser",22.0,4:22.80,8.0,Harvard,Freestyle,SR
8,500.0,2.0,4:20.83B,"Boyd, Jack",20.0,4:24.17,9.0,Harvard,Freestyle,FR
9,500.0,2.0,4:22.58B,"Zyla, Michal	",17.0,4:24.18,10.0,Columbia,Freestyle,FR
10,500.0,2.0,4:22.62B,"Uselis, Taylor",16.0,4:23.81,11.0,Penn,Freestyle,FR
11,500.0,2.0,4:24.93B,"Wachenfeld, Bradley",15.0,4:24.85,12.0,Penn,Freestyle,JR
12,500.0,2.0,4:25.04,"Sweezer, Brandon",14.0,4:25.55,13.0,Cornell,Freestyle,FR
13,500.0,2.0,4:27.38,"Jacobs, Talbot",13.0,4:27.04,14.0,Brown,Freestyle,FR
14,500.0,2.0,4:28.47,"Walters, Zachary",12.0,4:27.09,15.0,Harvard,Freestyle,SR
15,500.0,2.0,4:31.62,"Bondarenko, Nikita",11.0,4:25.05,16.0,Columbia,Freestyle,SO
16,500.0,2.0,4:24.58B,"Buerger, Zach",9.0,4:27.40,17.0,Princeton,Freestyle,FR
17,500.0,2.0,4:27.41,"Barr, Brian",7.0,4:27.33,18.0,Brown,Freestyle,SR
18,500.0,2.0,4:27.91,"Paulk, David",6.0,4:28.56,19.0,Princeton,Freestyle,SR
19,500.0,2.0,4:28.10,"Turcanu, Sava",5.0,4:28.32,20.0,Harvard,Freestyle,SO
20,500.0,2.0,4:28.46,"Sharkey, Ryan",4.0,4:28.63,21.0,Cornell,Freestyle,FR
21,500.0,2.0,4:28.53,"Noort, Eric",3.0,4:28.85,22.0,Penn,Freestyle,SR
22,500.0,2.0,4:30.44,"Ronda, Eric",2.0,4:27.86,23.0,Harvard,Freestyle,SO
23,500.0,2.0,4:31.03,"Mayfield, Cory",1.0,4:28.79,24.0,Brown,Freestyle,JR
24,500.0,2.0,4:29.22,"Mango, Alex",0.0,4:29.22,25.0,Columbia,Freestyle,JR
25,500.0,2.0,4:29.27,"Casey, Grant",0.0,4:29.27,26.0,Brown,Freestyle,FR
