,Ev#,Distance,Stroke,Rank,Name,Yr,School,Prelim,Final,Points
22,16.0,200.0,Backstroke,23.0,"Jacobs, Talbot  ",SO,Brown,1:50.22,1:49.69,2.0
23,16.0,200.0,Backstroke,24.0,"Shen, Tony L    ",SO,Dartmouth,1:50.43,1:49.96,1.0
24,16.0,200.0,Backstroke,25.0,"Senkfor, Henry  ",SO,Dartmouth,1:50.78,,0.0
25,16.0,200.0,Backstroke,26.0,"Kilduff, Johnny ",FR,Cornell,1:51.70,,0.0
0,17.0,100.0,Freestyle,1.0,"Hu-Van Wright,  ",JR,Princeton,43.25,43.19,30.0
1,17.0,100.0,Freestyle,1.0,"Schultz, Eric W ",SR,Penn,43.22,43.19,30.0
2,17.0,100.0,Freestyle,3.0,"Bole, Sandy A   ",SR,Princeton,43.38,43.58,27.0
3,17.0,100.0,Freestyle,4.0,"Kim, Ed J       ",SO,Harvard,43.82,43.73,26.0
4,17.0,100.0,Freestyle,5.0,"Schafer, Ben C  ",SO,Princeton,43.89,43.87,25.0
5,17.0,100.0,Freestyle,6.0,"Lewis, Alexande ",SO,Princeton,43.79,43.92,24.0
6,17.0,100.0,Freestyle,7.0,"Lutz, Sebastian ",FR,Harvard,43.37,44.00,23.0
7,17.0,100.0,Freestyle,8.0,"Andrew, Mark W  ",FR,Penn,43.92,44.32,22.0
8,17.0,100.0,Freestyle,9.0,"O'Hara, Paul F  ",JR,Harvard,43.92,44.00,20.0
9,17.0,100.0,Freestyle,10.0,"Mackrel, Julian ",JR,Princeton,44.59,44.09,17.0
10,17.0,100.0,Freestyle,11.0,"Dillinger, Thom ",FR,Penn,43.99,44.20,16.0
11,17.0,100.0,Freestyle,12.0,"D'Alessandro, T ",SR,Princeton,44.31,44.26,15.0
12,17.0,100.0,Freestyle,13.0,"Frifeldt, Kevin ",SO,Columbia,44.27,44.34,14.0
13,17.0,100.0,Freestyle,14.0,"Brenneman, Jack ",SO,Cornell,44.51,44.40,13.0
14,17.0,100.0,Freestyle,15.0,"Jameson, James  ",JR,Penn,44.41,44.70,12.0
15,17.0,100.0,Freestyle,16.0,"Zhang, Victor T ",SR,Yale,44.45,44.84,11.0
16,17.0,100.0,Freestyle,17.0,"Adams, Taylor S ",SR,Cornell,44.70,44.55,9.0
17,17.0,100.0,Freestyle,18.0,"Reisch, Luke A  ",JR,Cornell,44.62,44.59,7.0
18,17.0,100.0,Freestyle,19.0,"Su, Kevin F     ",JR,Penn,44.84,44.74,6.0
19,17.0,100.0,Freestyle,20.0,"Li, Terry       ",JR,Columbia,44.63,44.86,5.0
20,17.0,100.0,Freestyle,21.0,"Athanas, Aaron  ",SR,Dartmouth,44.91,44.97,3.5
21,17.0,100.0,Freestyle,21.0,"Saunders, Codi  ",SR,Columbia,44.87,44.97,3.5
22,17.0,100.0,Freestyle,23.0,"Lin, Adrian Y   ",FR,Yale,44.91,45.31,2.0
23,17.0,100.0,Freestyle,24.0,"Bole, Scott M   ",FR,Yale,44.97,45.33,1.0
24,17.0,100.0,Freestyle,25.0,"Klotz, Daniel J ",JR,Brown,45.02,,0.0
25,17.0,100.0,Freestyle,26.0,"Shepley, Joe L  ",SO,Columbia,45.06,,0.0
26,17.0,100.0,Freestyle,27.0,"Arafa, Omar M   ",SO,Columbia,45.34,,0.0
27,17.0,100.0,Freestyle,28.0,"Nee, Jack       ",JR,Brown,45.37,,0.0
28,17.0,100.0,Freestyle,29.0,"Ma, Kevin Y     ",SO,Cornell,45.42,,0.0
29,17.0,100.0,Freestyle,30.0,"Schnaars, Georg ",SR,Cornell,45.79,,0.0
30,17.0,100.0,Freestyle,31.0,"Patrick, Henry  ",FR,Dartmouth,45.97,,0.0
31,17.0,100.0,Freestyle,32.0,"Long, Jack      ",JR,Dartmouth,46.60,,0.0
32,17.0,100.0,Freestyle,33.0,"Kolyvek, Koppi  ",FR,Cornell,46.68,,0.0
0,18.0,200.0,Breaststroke,1.0,"Evdokimov, Alex ",SO,Cornell,1:55.84,1:53.56,32.0
1,18.0,200.0,Breaststroke,2.0,"Sanborn, Byron  ",SR,Princeton,1:56.10,1:56.22,28.0
2,18.0,200.0,Breaststroke,3.0,"McHugh, Colin P ",FR,Penn,1:57.29,1:56.36,27.0
3,18.0,200.0,Breaststroke,4.0,"Ronda, Eric W   ",JR,Harvard,1:57.22,1:56.41,26.0
4,18.0,200.0,Breaststroke,5.0,"Park, Jae Y     ",SO,Columbia,1:57.89,1:57.04,25.0
5,18.0,200.0,Breaststroke,6.0,"McNamara, Shane ",SO,Harvard,1:55.39,1:57.05,24.0
6,18.0,200.0,Breaststroke,7.0,"Pohlmann, Jack  ",SR,Princeton,1:57.10,1:57.87,23.0
7,18.0,200.0,Breaststroke,8.0,"Thomas, Wes W   ",JR,Penn,1:55.93,1:57.93,22.0
8,18.0,200.0,Breaststroke,9.0,"Rutter, Jonatha ",SO,Yale,1:58.33,1:57.51,20.0
9,18.0,200.0,Breaststroke,10.0,"Luo, Victor Y   ",SR,Cornell,1:59.05,1:57.66,17.0
10,18.0,200.0,Breaststroke,11.0,"Yu, Kyle M      ",SR,Penn,1:58.99,1:58.33,16.0
11,18.0,200.0,Breaststroke,12.0,"Meyers, Christo ",SR,Brown,1:59.12,1:58.50,15.0
12,18.0,200.0,Breaststroke,13.0,"Smith, Jack     ",FR,Columbia,1:58.75,1:58.86,14.0
13,18.0,200.0,Breaststroke,14.0,"Lohman, Connor  ",JR,Brown,1:59.26,1:59.80,13.0
14,18.0,200.0,Breaststroke,15.0,"Usinger, Brett  ",JR,Princeton,1:58.85,2:00.03,12.0
15,18.0,200.0,Breaststroke,16.0,"Hurwitz, Cole L ",JR,Penn,1:58.50,2:00.24,11.0
16,18.0,200.0,Breaststroke,17.0,"Kao, Derek      ",SO,Yale,2:01.69,2:00.71,9.0
17,18.0,200.0,Breaststroke,18.0,"Jin, Waylon     ",FR,Brown,2:01.44,2:01.05,7.0
18,18.0,200.0,Breaststroke,19.0,"Davis, Forrest  ",JR,Columbia,2:02.75,2:01.31,6.0
19,18.0,200.0,Breaststroke,20.0,"Sosinsky, Liam  ",JR,Cornell,2:01.48,2:01.48,5.0
20,18.0,200.0,Breaststroke,21.0,"Goss, Alex A    ",JR,Yale,2:02.90,2:02.46,4.0
21,18.0,200.0,Breaststroke,22.0,"Hall, Delaney W ",FR,Dartmouth,2:03.03,2:02.90,3.0
22,18.0,200.0,Breaststroke,23.0,"Crystal, Brenda ",SR,Penn,2:01.76,2:03.07,2.0
23,18.0,200.0,Breaststroke,24.0,"Limaldi, Jacob  ",FR,Yale,2:01.51,2:03.14,1.0
24,18.0,200.0,Breaststroke,25.0,"Vaimann, Timo   ",JR,Dartmouth,2:03.50,,0.0
25,18.0,200.0,Breaststroke,26.0,"Edmundson, Iain ",FR,Dartmouth,2:04.08,,0.0
0,19.0,200.0,Butterfly,1.0,"Luna, Jacob K   ",SR,Harvard,1:45.01,1:44.27,32.0
1,19.0,200.0,Butterfly,2.0,"Okubo, Corey H  ",SO,Princeton,1:44.32,1:44.44,28.0
2,19.0,200.0,Butterfly,3.0,"Bove, Marco     ",SR,Princeton,1:44.15,1:44.62,27.0
3,19.0,200.0,Butterfly,4.0,"Springman, Rile ",SO,Brown,1:44.93,1:45.68,26.0
4,19.0,200.0,Butterfly,5.0,"Buese, Cole C   ",FR,Princeton,1:44.43,1:45.83,25.0
5,19.0,200.0,Butterfly,6.0,"Carbone, Joey J ",FR,Yale,1:47.03,1:46.40,24.0
6,19.0,200.0,Butterfly,7.0,"Yakubovich, Max ",JR,Harvard,1:46.92,1:46.52,23.0
7,19.0,200.0,Butterfly,8.0,"Buerger, Zach T ",SO,Princeton,1:45.60,1:46.55,22.0
8,19.0,200.0,Butterfly,9.0,"Treil, Alexande ",SR,Brown,1:47.56,1:47.46,20.0
9,19.0,200.0,Butterfly,10.0,"St John, Carl A ",SR,Cornell,1:48.08,1:47.73,17.0
10,19.0,200.0,Butterfly,11.0,"Brakovec, Hunte ",SO,Penn,1:47.86,1:48.17,16.0
11,19.0,200.0,Butterfly,12.0,"Declercq, Vince ",SO,Cornell,1:47.82,1:48.30,15.0
12,19.0,200.0,Butterfly,13.0,"Mango, Alex V   ",SR,Columbia,1:48.50,1:49.45,14.0
13,19.0,200.0,Butterfly,14.0,"Russiello, Ian  ",FR,Cornell,1:48.71,1:49.83,13.0
14,19.0,200.0,Butterfly,15.0,"Brett, Shane    ",FR,Columbia,1:48.89,1:50.25,12.0
15,19.0,200.0,Butterfly,16.0,"Foster, Jack A  ",JR,Columbia,1:48.25,1:50.29,11.0
16,19.0,200.0,Butterfly,17.0,"Harmon, David B ",JR,Dartmouth,1:49.36,1:49.46,9.0
17,19.0,200.0,Butterfly,18.0,"Schultz, Alex J ",JR,Yale,1:50.31,1:49.48,7.0
18,19.0,200.0,Butterfly,19.0,"Wen, Michael $  ",JR,Penn,1:49.77,1:50.67,6.0
19,19.0,200.0,Butterfly,20.0,"Briggs, Logan G ",SR,Dartmouth,1:51.78,1:50.90,5.0
20,19.0,200.0,Butterfly,21.0,"Boval, Brandon  ",SO,Dartmouth,1:51.02,1:51.46,4.0
21,19.0,200.0,Butterfly,22.0,"Purvis, Robby J ",FR,Dartmouth,1:51.69,1:51.71,3.0
22,19.0,200.0,Butterfly,23.0,"Mertz, Kevin C  ",JR,Brown,1:52.05,1:52.37,2.0
23,19.0,200.0,Butterfly,24.0,"Orringer, Matth ",FR,Brown,1:51.03,1:54.27,1.0
24,19.0,200.0,Butterfly,25.0,"Steele, William ",FR,Brown,1:53.84,,0.0
